amc-contracts-agent	93d	app/(routes)/campus-living/allocations/[id]/page.tsx
backup/wip-autosave-2026-04-11	97d	app/(routes)/admin/notifications/[id]/_components/notification-analytics.tsx
chore/enable-pr-previews	84d	vercel.json
chore/hr-employees-scope-non-staff	93d	app/(routes)/hr/employees/[id]/page.tsx
chore/hr-leave-types-view-audit	84d	supabase/SQL_FILE_INDEX.md
chore/notifications-targeting-schema-unify	82d	supabase/setup/02_functions.sql
chore/security/drop-leftover-backup-scratch-tables	38d	supabase/migrations/20260709140000_drop_leftover_backup_scratch_tables.sql
chore/trigger-deploy-bypass-ignorecmd	80d	next.config.ts
chore/vercel-ignorecommand-architectural-fix	80d	vercel.json
chore/vercel-ignorecommand-simpler-form	80d	vercel.json
ci/visual-proof-gate	70d	progress.txt
clean-ss-deploy	134d	?
combined-relocation-gate	37d	app/(routes)/admin/counselors/layout.tsx
consumer-layer-survey	59d	scripts/audit-failures.sh
cost-layer/batch-api-async-v2	13d	app/api/cron/scf-generate-suggestions/route.ts
cost-layer/record-chat-call-dedup	14d	app/api/academic/session-feedback/ai-suggest-improvement/route.ts
docs/admission-dash/conversion-rate-diagnostic	70d	?
docs/attention-bar-end-to-end-verification	80d	docs/attention-bar/end-to-end-verification-2026-04-28.md
docs/cnext-session-7d64bee0	75d	docs/plans/2026-05-04-byow-spec3-reliability.md
docs/session-end-0125b044-2026-05-17	62d	progress.txt
docs/session-end-6e94bf35	74d	docs/INSTASOLVER-MODULE-SPEC.md
docs/sprint-6-session-summary	92d	app/api/events/marathon/[eventId]/register/route.ts
ep-admission-packages	49d	app/(routes)/campus-living/allocations/new/page.tsx
events-promote-followons-reland	23d	_cap.mjs
exotel-integration-jicate	103d	app/api/admission/calls/sync/route.ts
feat/academic-page-tabs	86d	app/(routes)/academic/_components/academic-nav.tsx
feat/accreditation-page-tabs	86d	app/(routes)/accreditation/_components/accreditation-nav.tsx
feat/admin-ai-model-config	69d	app/(routes)/admin/ai-models/_components/ai-model-edit-dialog.tsx
feat/admin-loops-control-tower	14d	app/(routes)/admin/loops/_components/loop-control-tower.tsx
feat/admission-admin-relocate-counselors-policies	37d	app/(routes)/admin/counselors/layout.tsx
feat/admission-calls-analyze-cron	70d	app/api/cron/analyze-calls/route.ts
feat/admission-completeness	99d	app/(routes)/admission/gd-pi/_components/gdpi-data-table.tsx
feat/admission-consultants-admin-relocate	37d	app/(routes)/admission/consultants/admin/commission-triggers/_components/edit-trigger-dialog.tsx
feat/admission-counselors-director-pulse	70d	app/(routes)/admission/counselors/director-pulse/page.tsx
feat/admission-counselors-lead-mood-digest	70d	app/(routes)/admission/counselors/lead-mood/page.tsx
feat/admission-counselors-team-page-phase5	80d	?
feat/admission-counselors-team-page-phase5-v2	80d	app/(routes)/admission/counselors/team/_components/activity-tab.tsx
feat/admission-counselors-unassigned-banner	81d	?
feat/admission-counselors-unassigned-banner-v2	81d	app/(routes)/admission/counselors/page.tsx
feat/admission-crm-page-tabs	86d	app/(routes)/admission/_components/admission-nav.tsx
feat/admission-schools-network-admin-ui	17d	app/(routes)/admission/schools-network/[schoolId]/page.tsx
feat/admission-social-relocate	37d	app/(routes)/admission/nav-config.ts
feat/admission-social-settings-wave2	37d	app/(routes)/admin/dashboard-drilldowns/page.tsx
feat/admission-voice-memo-backend	69d	app/api/admission/lead-mood/route.ts
feat/admission-voice-memo-recorder-ui	69d	app/api/admission/calls/log/[id]/memo/route.ts
feat/admission-yoy-drill-down-redesign	17d	.gitignore
feat/ai-config-adopt-cron	15d	app/api/cron/induction-generate-playbook/route.ts
feat/ai-config-adopt-interactive	14d	app/api/academic/session-feedback/ai-suggest-improvement/route.ts
feat/ai-model-config-substrate	15d	lib/services/platform/ai-clients/chat.ts
feat/ai-pulse-activation-and-fixes	36d	app/(routes)/ai-pulse/admin/page.tsx
feat/ai-pulse-cycle-cron	74d	app/(routes)/admin/config/ai-pulse/_components/ai-pulse-policies-editor.tsx
feat/ai-pulse-dept-heatmap-anomaly	36d	app/(routes)/ai-pulse/dept/_components/dept-heatmap-grid.tsx
feat/ai-pulse-glue	72d	app/(routes)/ai-pulse/declare/[cycle]/page.tsx
feat/ai-pulse-guide-instrumentation	33d	app/(routes)/ai-pulse/guide/page.tsx
